"Time"	"2 "
0.000	0.03342
0.002	0.04257
0.004	0.00412
0.006	0.02641
0.008	0.03087
0.010	-0.01231
0.012	-0.00394
0.014	0.22044
0.016	0.00031
0.018	-0.02533
0.020	0.00880
0.022	0.02274
0.024	0.00015
0.026	0.02731
0.028	0.03387
0.030	-0.01373
0.032	-0.00763
0.034	0.04257
0.036	-0.00168
0.038	-0.01404
0.040	0.03006
0.042	0.03540
0.044	-0.00641
0.046	0.03143
0.048	0.04044
0.050	-0.03632
0.052	-0.02625
0.054	0.01541
0.056	-0.02533
0.058	-0.02945
0.060	0.02365
0.062	0.04349
0.064	0.00839
0.066	0.05585
0.068	0.05920
0.070	-0.00275
0.072	0.00397
0.074	0.03448
0.076	-0.01297
0.078	-0.02304
0.080	0.02518
0.082	0.00092
0.084	-0.05035
0.086	0.00153
0.088	0.01282
0.090	-0.05295
0.092	-0.02747
0.094	0.01770
0.096	-0.03143
0.098	-0.03708
0.100	0.02243
0.102	0.02945
0.104	-0.02350
0.106	0.02274
0.108	0.02502
0.110	-0.03891
0.112	-0.03693
0.114	-0.00214
0.116	-0.04959
0.118	-0.05798
0.120	0.00259
0.122	0.00168
0.124	-0.05539
0.126	-0.00473
0.128	0.00580
0.130	-0.03586
0.132	-0.01389
0.134	0.02808
0.136	-0.02197
0.138	-0.02472
0.140	0.02899
0.142	0.01541
0.144	-0.02701
0.146	0.03967
0.148	0.04578
0.150	-0.03571
0.152	-0.02579
0.154	0.00671
0.156	-0.04913
0.158	-0.05600
0.160	0.00259
0.162	0.00565
0.164	-0.04471
0.166	-0.00778
0.168	0.00031
0.170	-0.04639
0.172	-0.02365
0.174	0.00397
0.176	-0.06058
0.178	-0.04822
0.180	0.01129
0.182	-0.00977
0.184	-0.07462
0.186	-0.02991
0.188	0.00153
0.190	-0.05356
0.192	-0.03616
0.194	0.00763
0.196	-0.05447
0.198	-0.06210
0.200	-0.00107
0.202	-0.02289
0.204	-0.07385
0.206	-0.02838
0.208	-0.00671
0.210	-0.06287
0.212	-0.04791
0.214	-0.01114
0.216	-0.05966
0.218	-0.07217
0.220	-0.01892
0.222	-0.01556
0.224	-0.03891
0.226	0.02609
0.228	0.02777
0.230	-0.03540
0.232	-0.01862
0.234	0.03433
0.236	-0.01373
0.238	-0.01862
0.240	0.02808
0.242	0.01938
0.244	-0.01053
0.246	0.04898
0.248	0.04959
0.250	-0.02838
0.252	-0.00748
0.254	0.02655
0.256	-0.03036
0.258	-0.04089
0.260	0.02838
0.262	0.03174
0.264	-0.00961
0.266	0.01358
0.268	0.02716
0.270	-0.00580
0.272	0.01602
0.274	0.04578
0.276	-0.01602
0.278	-0.00351
0.280	0.04013
0.282	0.01465
0.284	-0.02060
0.286	0.04929
0.288	0.05692
0.290	-0.00153
0.292	0.00381
0.294	0.03159
0.296	-0.02167
0.298	-0.02350
0.300	0.02960
0.302	0.01404
0.304	-0.01373
0.306	0.04196
0.308	0.05356
0.310	-0.00443
0.312	0.02563
0.314	0.05600
0.316	0.00549
0.318	-0.00122
0.320	0.04211
0.322	0.03433
0.324	0.00488
0.326	0.04532
0.328	0.03159
0.330	-0.03281
0.332	-0.01968
0.334	-0.00565
0.336	-0.04181
0.338	-0.02991
0.340	0.02167
0.342	-0.00015
0.344	-0.03769
0.346	0.00076
0.348	0.01495
0.350	-0.00992
0.352	0.00824
0.354	0.01663
0.356	-0.05020
0.358	-0.02808
0.360	0.01495
0.362	0.00000
0.364	-0.02930
0.366	0.03067
0.368	0.02686
0.370	-0.00870
0.372	0.03006
0.374	0.05005
0.376	-0.02762
0.378	-0.01404
0.380	0.05402
0.382	0.03616
0.384	-0.00702
0.386	0.05219
0.388	0.04761
0.390	-0.01419
0.392	0.01297
0.394	0.03021
0.396	-0.02396
0.398	0.00824
0.400	0.06516
0.402	0.03174
0.404	0.00336
0.406	0.05951
0.408	0.07431
0.410	0.00992
0.412	0.02563
0.414	0.05020
0.416	0.00351
0.418	0.00946
0.420	0.06851
0.422	0.04944
0.424	0.01251
0.426	0.05951
0.428	0.06958
0.430	0.00732
0.432	0.03357
0.434	0.05081
0.436	-0.01389
0.438	-0.01770
0.440	0.06271
0.442	0.03433
